crop,year,yield,precipitation_mm,pesticides_tones,avg_temp
"Agave fibres, raw, n.e.c.",1990,997.1,821.09,29367.13,20.96
"Agave fibres, raw, n.e.c.",1991,995.3,754.5,29400.46,20.9
"Agave fibres, raw, n.e.c.",1992,987.2,779.3,29473.08,20.68
"Agave fibres, raw, n.e.c.",1993,995.3,773.06,29276.85,20.96
"Agave fibres, raw, n.e.c.",1994,997.3,657.44,29353.51,21.38
"Agave fibres, raw, n.e.c.",1995,993.8,758.11,29430.18,21.31
"Agave fibres, raw, n.e.c.",1996,996.4,721.17,29347.92,21.17
"Agave fibres, raw, n.e.c.",1997,994.3,736.22,29423.87,20.91
"Agave fibres, raw, n.e.c.",1998,1000.0,783.58,29221.52,21.44
"Agave fibres, raw, n.e.c.",1999,1000.0,789.05,29297.91,21.0
"Agave fibres, raw, n.e.c.",2000,1000.0,725.73,29373.14,21.17
"Agave fibres, raw, n.e.c.",2001,953.7,691.58,25722.55,21.0
"Agave fibres, raw, n.e.c.",2002,933.7,732.77,12752.18,21.19
"Agave fibres, raw, n.e.c.",2003,910.4,777.19,17898.2,21.26
"Agave fibres, raw, n.e.c.",2004,883.4,844.65,20506.67,20.98
"Agave fibres, raw, n.e.c.",2005,853.2,727.52,43115.24,21.28
"Agave fibres, raw, n.e.c.",2006,776.7,816.78,42364.68,21.45
"Agave fibres, raw, n.e.c.",2007,736.5,782.84,56198.8,21.09
"Agave fibres, raw, n.e.c.",2008,694.2,797.86,55224.56,21.06
"Agave fibres, raw, n.e.c.",2009,652.0,686.9,55394.88,21.55
"Agave fibres, raw, n.e.c.",2010,610.8,827.37,57531.06,20.78
"Agave fibres, raw, n.e.c.",2011,571.4,696.18,58790.27,21.59
"Agave fibres, raw, n.e.c.",2012,500.0,710.26,54189.01,21.66
"Agave fibres, raw, n.e.c.",2013,500.0,931.07,52407.9,21.16
"Agave fibres, raw, n.e.c.",2014,469.7,866.07,47365.97,21.39
"Agave fibres, raw, n.e.c.",2015,427.3,765.58,53185.19,21.54
"Agave fibres, raw, n.e.c.",2016,448.1,801.73,52392.02,21.75
"Agave fibres, raw, n.e.c.",2017,458.5,795.08,56102.86,22.03
"Agave fibres, raw, n.e.c.",2018,444.1,783.02,58561.82,21.66
"Agave fibres, raw, n.e.c.",2019,450.2,721.02,53908.57,21.88
"Agave fibres, raw, n.e.c.",2020,450.9,691.92,45879.88,22.08
"Agave fibres, raw, n.e.c.",2021,448.4,837.45,47959.41,21.86
"Almonds, in shell",1990,6966.1,821.09,29367.13,20.96
"Almonds, in shell",1991,1608.1,754.5,29400.46,20.9
"Almonds, in shell",1992,3069.8,779.3,29473.08,20.68
"Almonds, in shell",1993,2880.0,773.06,29276.85,20.96
"Almonds, in shell",1994,1157.3,657.44,29353.51,21.38
"Almonds, in shell",1995,1260.3,758.11,29430.18,21.31
"Almonds, in shell",1996,1793.7,721.17,29347.92,21.17
"Almonds, in shell",1997,1703.1,736.22,29423.87,20.91
"Almonds, in shell",1998,2491.8,783.58,29221.52,21.44
"Almonds, in shell",1999,1213.1,789.05,29297.91,21.0
"Almonds, in shell",2000,1590.2,725.73,29373.14,21.17
"Almonds, in shell",2001,1500.0,691.58,25722.55,21.0
"Almonds, in shell",2002,2000.0,732.77,12752.18,21.19
"Almonds, in shell",2003,2157.9,777.19,17898.2,21.26
"Almonds, in shell",2004,1500.0,844.65,20506.67,20.98
"Almonds, in shell",2005,1436.5,727.52,43115.24,21.28
"Almonds, in shell",2006,1504.7,816.78,42364.68,21.45
"Almonds, in shell",2007,1547.5,782.84,56198.8,21.09
"Almonds, in shell",2008,1513.4,797.86,55224.56,21.06
"Almonds, in shell",2009,1479.4,686.9,55394.88,21.55
"Almonds, in shell",2010,1445.3,827.37,57531.06,20.78
"Almonds, in shell",2011,1412.1,696.18,58790.27,21.59
"Almonds, in shell",2012,1412.2,710.26,54189.01,21.66
"Almonds, in shell",2013,1412.4,931.07,52407.9,21.16
"Almonds, in shell",2014,1424.7,866.07,47365.97,21.39
"Almonds, in shell",2015,1434.9,765.58,53185.19,21.54
"Almonds, in shell",2016,1423.2,801.73,52392.02,21.75
"Almonds, in shell",2017,1427.4,795.08,56102.86,22.03
"Almonds, in shell",2018,1428.4,783.02,58561.82,21.66
