Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1961","1961","1000 ha","20817","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1962","1962","1000 ha","20680","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1963","1963","1000 ha","20610","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1964","1964","1000 ha","20550","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1965","1965","1000 ha","20480","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1966","1966","1000 ha","20415","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1967","1967","1000 ha","20340","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1968","1968","1000 ha","20270","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1969","1969","1000 ha","20210","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1970","1970","1000 ha","19138","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1971","1971","1000 ha","19179","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1972","1972","1000 ha","19209","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1973","1973","1000 ha","19288","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1974","1974","1000 ha","19268","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1975","1975","1000 ha","19297","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1976","1976","1000 ha","19326","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1977","1977","1000 ha","19406","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1978","1978","1000 ha","19435","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1979","1979","1000 ha","19265","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1980","1980","1000 ha","19469","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1981","1981","1000 ha","19672","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1982","1982","1000 ha","19800","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1983","1983","1000 ha","20348","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1984","1984","1000 ha","20254","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1985","1985","1000 ha","20359.5","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1986","1986","1000 ha","20465","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1987","1987","1000 ha","21470","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1988","1988","1000 ha","21876","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1989","1989","1000 ha","22781","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1990","1990","1000 ha","23787","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1991","1991","1000 ha","24696","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1992","1992","1000 ha","24757","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1993","1993","1000 ha","24822","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1994","1994","1000 ha","24887","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1995","1995","1000 ha","24952","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1996","1996","1000 ha","25117","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1997","1997","1000 ha","25182","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1998","1998","1000 ha","25247","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","1999","1999","1000 ha","25313","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2000","2000","1000 ha","25378","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2001","2001","1000 ha","25643","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2002","2002","1000 ha","25708","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2003","2003","1000 ha","25773","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2004","2004","1000 ha","25838","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2005","2005","1000 ha","25903","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2006","2006","1000 ha","25968","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2007","2007","1000 ha","26145","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2008","2008","1000 ha","25958","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2009","2009","1000 ha","25771","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2010","2010","1000 ha","25584","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2011","2011","1000 ha","25397","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2012","2012","1000 ha","25210","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2013","2013","1000 ha","25023","I","Imputed value"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2014","2014","1000 ha","24838","A","Official figure"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2015","2015","1000 ha","24743","A","Official figure"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2016","2016","1000 ha","24374","A","Official figure"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2017","2017","1000 ha","22926","A","Official figure"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2018","2018","1000 ha","22607","A","Official figure"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2019","2019","1000 ha","22129","A","Official figure"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2020","2020","1000 ha","22869","A","Official figure"
"RL","Land Use","484","Mexico","5110","Area","6620","Cropland","2021","2021","1000 ha","22899","A","Official figure"
