Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1982","1982","100 g/ha","10050","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1983","1983","100 g/ha","10071","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1984","1984","100 g/ha","10097","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1985","1985","100 g/ha","10082","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1986","1986","100 g/ha","10000","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1987","1987","100 g/ha","10004","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1988","1988","100 g/ha","9974","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1989","1989","100 g/ha","9916","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1990","1990","100 g/ha","9971","I","Imputed value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1991","1991","100 g/ha","9953","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1992","1992","100 g/ha","9872","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1993","1993","100 g/ha","9953","E","Estimated value"
"QCL","Crops and livestock products","484","Mexico","5419","Yield","01929.06","Agave fibres, raw, n.e.c.","1994","1994","100 g/ha","9973","E","Estimated value"
